generation, fitness, rule
82, 5.400100, 265424200110116531025463320244616521466355546466200126113266600303461336104123133416550146120436211214550525062631223215413625645465046366455315226502116105034506440322660241325406454455143512224644202461220456451056106005521640163665463036534
83, 5.200100, 263425350110310630465156643054616521466305546466255366131266640303061166024126433416550146120436211414550525062601223215411625245465026361455345215502016105054521440322660241325406454455543512224614203421620456451053106005521640163065463236534
84, 5.400100, 265425353110350530005663301243614535106035102513150352211466330353664356024123233416550146120436211214556624062631223215413625645465046366455315216502116105036506440320640341425402454455543522224614202421620456451056106005521640163635463036534
85, 5.100100, 265424200110116531025463320244616521466055146466250355216466630353664356024126433406550146120436211214550525062631223215413625645465026365455345265502016105054506440320260241325406454455543512224614203421620456456056006005521630163066163066534
86, 5.300100, 265424200110116531025363320244616501466605546460250126113266600303461366204123133416230146020401211214256625062636223215411625245465026365455345205502016105054521440020660241425402454455543522254614202461220456451356106005521640163665463036034
87, 5.300100, 265424500110351530005463301143614535106032102513160152142266600303461336104563233416230146320406211514556625066636223215411625245465026365455345265502016105054506440320260241325406454455543512224614203421620456451356106005521640163665463036034
88, 5.300100, 265425353110350530005463101243614535106012102121250352211466600355634356024126033416230146320006211514556625066636223215411625245455026365453345215502016105054546442322260241355406454455543512224614203421226456451056106005521640163566163036534
89, 5.500100, 265424200110312533025463320244616521466605546460250352211466630353664356024123233416230146020402211510550522062631223215413625645465046366455345205502016105054521440020660241425402454455543522224614202461220456451356106005521640163665463036034
90, 5.400100, 265424200110116531020363323054616521466305546466255366113266606303461336104563233416230146320406211514556625066606223415413625245465026362453345215502016105054546440322260241355406454455543012224014202421620456451053106005522046363066463236534
91, 5.400100, 265424200110106531025463340214616521466005546466200126113266600303461366204123133416230146020401211214236625062636223215411625245265026365455345205602016105054521440020660241425402454455523520623314212431226456451056406005521640163066163066534
92, 5.500100, 265424200110106531025463340214616521466355540466200126113266600303461336104563233416630146320406211514546645062601263215411625245465026365455345205502056105054521440020660241425402454455543522224614202461220456451356106005521640163665463036034
93, 5.100100, 165424200110116536020116620244616501466605146460250126113266600303061566204123133416230146020401211214236625063636223215411625225465022365455345205502016105054521440322664241325406454455543512224614403421226456451051106005521640163065463536534
94, 5.400100, 265424200110116531025463340214616521466605540366200126113266600303461536104123133414550146120436211210550525062631223315413625245465046366435315216202116105046556410322664241325206454455543512224614203421526456451056006005521630163065463036034
95, 5.700100, 165424200110116536020463101243614535106012102121250352211466600303461366204153133416230146020401211214236625062636223215411665245265026365455345205502056105054621440020660241355406454455543520224614202161220456451356106015521640163665463035034
96, 5.800100, 265424200110106531025463340214616521466005546466200126113266600303461366204123133416230146020401211214236625063636223215411625225465022365455345205502016105054521440322664241325406454455543512224314212431226456451056406005521640163066163036034
97, 5.200100, 165424200110116536020116620244616501466605146460250126113266600303461536106123133310150146120436211214550524062631223315413645245465046366435345205502016105054511450322664241325406454455543512224614403421226456451051106005521640163065463636534
98, 5.000100, 165424200110116531025463340214646521466605546360251126410266600303461536104123133416230146020401211214236625062636223215511625245265026365455345205602016105054521440020660241425402454455523520623314212431226456451053106005521640163635463036634
99, 5.300100, 265424260310312133065156633044616521466605546360250126110266600303461366104563232416230146020401211214236625062636223245511625245265056365455345205602016105054521660020660541425402454455523512224314212431226456451056406005521640163066163336534
100, 5.500100, 265424203130350532006463101243614535106012102121250302211466600355634356024126133414230146020301211214236625062636223215411665245265016365455345205501056105054621440020660241355406454455543520224614202461200456451356106015521640163665463036034
101, 5.400100, 165424200156116536020416633054616521466012102166200126110266600343461532104123133416200146020401211214236225062636223215511625245265056365455345205602016105054521440020664241326402454455563522624614202461620456451356006005521640163066163036634
102, 5.600100, 265424353130350532006463101243614535106012102121250302211466600303461536106123133316230146020401211214250624062631223315413625245415026362455245203502116105046556410322164241325206451455543512224614503421526453451056106605522046363066463236534
