generation, fitness, rule
94, 21.350100, 362255255135351035054124002640350515653353214051653336232640106512420302253415026642233132605606354122116154464251612032306060465240403242250624660121500661455240251251464124345042440251351153146060533506321256154543020355601610400660130615036
95, 22.900101, 032252266135351035054124002640354555653354262153653355252045105252520302513415026642233132605606364122116154444251612062306060465245501542052604660151500661455240251251064120325012440251351153146160533200321254154340620323601610324502046625063
96, 23.700100, 333255265135351035055124002640350515653653262055653345352645105252522302613415026642233132605606355122116154444351612032306060021203335502600636660236542660455240251250461161330042440251351153146120263200321250154001425655601610324502046625063
97, 24.650101, 332255265135351035054121002640350515653353214051653336232640106512420302253415026642233132605606354122116154464251612033216345425215431551652131151551503661455240251250061120440022240251351153146160533504325156150343024326040110432132130225063
98, 25.850100, 332255254135351165054124002640350515653354262153653355242045105252520302513415026642253132605606354122116154444251612665216333465245401522550625060151402661435245256253224160445022240251351153146160533504321256154543020326040110405112513615063
99, 26.050100, 332255265033351035054124000640354515653654262153653355252045101252520042613341026151453531205406354222111463311201612032306060425245501542052604660151500661455240256251464161330042440251351153146160533504321256154543020326340110405112513615060
100, 23.600100, 332255265135351035054124002640354515653654262153653655252005105252520302513415026642456645605330134122156655244251612032306060021203335502600636660231502660455240251250061120445022240251351153146160533504321256154541020326040110405112613615016
101, 24.650101, 332255265135351235054124022640354513653654262153653355252045105252520302513415025342633133605606351646556154464251612030216345425215431551652131151551503661455240251250061120440022240251551153146160533504325156150343024326040110432136030225063
102, 26.950100, 362255265135351035054124002640354516653654262153653655252045105252624302653415026346456531205430661641116154622651612035216346422215431551652131151551503661455240251250061120440022240251351153142160533504331256154543020355601415024502513615066
103, 25.050100, 032252265135351035054124052640354513653654262155653353212345105252526342653443560042456531606316334123456650244251612012306060465145301542032604460031500661455240251251464161330042450251341153146106553504321256154543020655601115025502046615066
104, 26.050100, 362255265135351035054124002646354516653654262151653336432640101252640042613241023151056531205430661641116154621230012062306060465145501542002604460151503661455240251250061120400022240251351153146160533504321256154540020326040110405112513615663
105, 27.400101, 334255261033351035054124052640354513653654242155653305234644104252520004653435025302303102035310324051615461344214610032325060465245022542052604660161500661455240251251464162330041450251341153156140553524421254154206425613121610432136030225063
106, 31.800100, 352255265135355035054124022640354513653654262153653355252045105252520302513415025342603133605350101441466156213130112032306260000245505542052604660511502660454040251250061120445022246251351153140160633200321254154542020325601610400623060615066
107, 28.950100, 334254265035351035054124052640354513653654262155653305234045305254620302603415026652253132605606354122116554445251612032306063000241505542002604460151503661455240251250061120440022240251351153146166553504301256154543620366340110405112513616636
108, 31.410101, 352255265133351035054124000640354515653604262153653355252045105252526342653443560042456501606316334123412154622631610032305060465643521542050625660121500661455240251251461120440022240251351153143160530504331256154543020355601415024502513615066
109, 29.400101, 352255265133351035054122002640354516653654262153653355252045305243520042613341026151453531205405324122112223211231612032306260000240463242250624264121500661455240151251461161330042450251344152146160253004301254153543020355601415024502513615066
110, 28.310101, 352255265133351035054124000140354515653634262153653355252045105252520362653443560042456531601430625641216154622651612333216346425615431551252131151551503461455240251250061120445022240251351153146160553004301254154201425654601115025502046615016
111, 28.700100, 352255265135351035054122002640354515653654262153653655252045106512420302253415026642233135606346333122112200622151612033306060010245505542052131151551503661455240251250061120445022240251351153146166553504301256154543620366341415024502513615066
112, 33.750099, 352255265133351035054122002640354515653654262153650655252045106512420302253415026642203135606346333122112200622051615033216260465245501532056624661141504660455240251251461120440022240251352153142160533504331254153543020355636160432132060225063
113, 32.950100, 352255265131351035054124000140354515653654662153653355252045245252624302653415026326456531035350101441456143211230012062306060465245521522254623661141504661455240251250061120445022240251351153156160553504321254154201455655601115054502046615066
114, 40.250099, 352255265131351035054124000140354515653654662153653355252045245252624302653415026326456531035350101441456143211230012062306060465245521522254623661141504661455240251250061120445022240251351153156160553504321254154201455655601115054502046615066
115, 41.000099, 352255265131351035054124000140354515653654662153653355252045245252624302653415026326456531035350101441456143211230012062306060465245521522254623661141504661455240251250061120445022240251351153156160553504321250154043620366301115055502046615066
116, 38.950100, 352255265136351035054124000140354515653654662053653355252045105252624302653415326346456535606346303122112200622051615003216260465245605542052604660151500662405240256251461120445022240251351153156160553504321254154201455655601115554502046615066
117, 40.400101, 352255265136351035054124000140354515653654662053653355252045105255520302623423510046456531100430645641216154622611612333216346425615634542002604460151503661055340251250061120445022240251355153156160553504321254154201455655601115054502046615066
118, 42.150097, 352055265135351035054124002140354515653654662153653355252045245252624041653443560042456531606316334123452154622631610002306260000250463242250624260031500661455240251250061120640022240251355150156160553504321254154201455655601115054502046615066
119, 41.900097, 352255235133351035054124052640354513653654262155653305234045305454620302653415060016453531205400661641112223211230612433306060065215321222564623660166500661455240251256461120460022240251351153156160553504321250153543620363344110405112523616636
120, 47.060097, 352255235133351035054124052640354513653654262155653305234045305454620302653415060016453531205400661641112223211230612433306060065215321222564623660166500661455240251256461120460022240251351153156160553504321250153543620363344110405112523616636
121, 43.630096, 352255265136351035054124000140356515653654462155153355252344102252520012653415026652256531606316334123411650244251612362306346425615634542002604460151503661055240251250061120445022250251355153156160553500321256154542020325601115025502046615066
122, 40.700100, 352255265131351035054124000140354515653652662153653355252045105252520302653415026346456531205430601641456156213130116032306260005245334542002623625141504661455240251250061120445022240251351153153160553504321254154201455655601115054502046615066
123, 40.650101, 352255265101351335054124000140354515653654662153653355152045105252520302653415026346456531205430601641452223212631612032366060021245505242250624265121500661453240251250261120425025250251345153156160553504321251154201450665601115054502046611056
124, 48.500099, 352255265101351035054124000140354515653654662153653355222645105252506362653413560051453531205400661641112223211234652432306060065215321222564623660126500661455240251256461120460022240251351153156160553504321254154201455655601115054502046615066
125, 48.100098, 332255365436351035054124022650354543653654202153653345212245101252506362653415026652256531606316334123411650244251612364306060415215521522052131151551103661155140251250564120460022240251351153156160553504321250153543620362344110405112523616636
126, 48.530098, 352255265101351035054124002140354515353650212155653355252045105452520302603412026652256531606350101441456156213133112462306064415215521522052131151551503661155240250250561120445022250251051153156160553504321254154201450655602113054502041613066
127, 48.500099, 352255265101351035054124002140354515353650212155653355252045105452520302603412026652256531606350101441456156213133112462306064415215521522052131151551503661155240250250561120445022250251051153156160553504321254154201430366301110465152513615663
128, 49.320099, 352255264133351035054122000640354515353654202153653345212245105452520302603412026652256531606350101441456156213133112462306064415215521522052131151551503661155240250250561120445022250251051153156160553504321254154201450655602113054502041613066
129, 54.780098, 352255265133351035054122000640354515353654202153653345212245105452520302603412026652256531606350101441456156213133112462306064415215521522052131151551503661155240250250561120445022250251051153156160553504321254154201450655602113054502041613066
130, 71.820099, 352251265161351035054624000150354515353654202153655345212245105252520362653445026341456531205430601641452223212631132032301062000244505542062604660534502660455641251251464161440022240251351153156160553504321254154201430366301110465152513615463
131, 49.990097, 352255264133351035054122000640354515353650212155653355252045105452520302603412016652256531606350101441456156213133112462306064415215521522052131151551503661155240250250561320445022250251051153156160553504321254154201430366304110465152513615663
